iter	Logloss
0	0.627287983
1	0.570202788
2	0.522011854
3	0.4805471755
4	0.4446567238
5	0.4133924662
6	0.3852819681
7	0.3610828524
8	0.3396516174
9	0.3215818088
10	0.3060461589
11	0.2917380499
12	0.2804241959
13	0.270066235
14	0.2608038487
15	0.2525958794
16	0.2448785951
17	0.2386458779
18	0.2326185852
19	0.227639835
20	0.2231091908
21	0.219645686
22	0.2156280145
23	0.212638396
24	0.2092829719
25	0.2062782994
26	0.2038996088
27	0.2016917154
28	0.1994944454
29	0.1977095371
30	0.1959776105
31	0.1943124155
32	0.1927794618
33	0.1916482235
34	0.1902095403
35	0.1892379544
36	0.1881894245
37	0.1871115565
38	0.1862068319
39	0.1853795315
40	0.1843932722
41	0.1835818405
42	0.1827338614
43	0.1819312063
44	0.1812937842
45	0.1808140682
46	0.1800549298
47	0.1796548942
48	0.1790195444
49	0.1785292382
50	0.1781155821
51	0.177765946
52	0.1772620923
53	0.1767557901
54	0.1763360357
55	0.1758210702
56	0.1753766003
57	0.1750017944
58	0.1747559781
59	0.1744381664
60	0.1742169993
61	0.1736862538
62	0.173325372
63	0.1730907787
64	0.1726947301
65	0.1724291194
66	0.1721011938
67	0.171546674
68	0.1712833205
69	0.1708773314
70	0.1705890203
71	0.1703557203
72	0.1701080945
73	0.1698206915
74	0.169705381
75	0.1692239074
76	0.169001596
77	0.1687044078
78	0.1685341251
79	0.168211041
80	0.1679069851
81	0.1677006136
82	0.1675435752
83	0.1671760375
84	0.1669184151
85	0.1666658926
86	0.1664939483
87	0.1663881929
88	0.1662608003
89	0.1660588757
90	0.1658397335
91	0.1655754735
92	0.1654895575
93	0.1653371716
94	0.1651573364
95	0.1649247281
96	0.1647692746
97	0.164540081
98	0.1643719878
99	0.1642516546
100	0.1641200493
101	0.1639434853
102	0.1637762002
103	0.1636253156
104	0.1634329553
105	0.1633214229
106	0.1631384403
107	0.163053516
108	0.1629330955
109	0.1628356901
110	0.1626739273
111	0.1626048924
112	0.1625542418
113	0.1623676837
114	0.1622519777
115	0.1621537909
116	0.1620612376
117	0.1620002688
118	0.1618949341
119	0.161813075
120	0.161731553
121	0.1614601613
122	0.1613667481
123	0.161287826
124	0.161225624
125	0.161162307
126	0.1611014075
127	0.1610012153
128	0.1609005136
129	0.1607166342
130	0.1606026781
131	0.1605168298
132	0.1604525844
133	0.1603474249
134	0.1602708169
135	0.1601699853
136	0.1601465619
137	0.1600953659
138	0.1600068526
139	0.1599299092
140	0.1598150479
141	0.1597634825
142	0.1596671423
143	0.1594736599
144	0.1593900928
145	0.1592919672
146	0.1592050425
147	0.1591083151
148	0.1589355295
149	0.1587745277
150	0.1587190854
151	0.158639607
152	0.1584850694
153	0.1584152469
154	0.1583588422
155	0.1582771712
156	0.1582144383
157	0.1581148699
158	0.1580001648
159	0.1578629913
160	0.1576605531
161	0.1575637889
162	0.1573594106
163	0.1573107393
164	0.1572462604
165	0.1571942061
166	0.1570502492
167	0.1569793134
168	0.1569152551
169	0.1568402131
170	0.1567785596
171	0.156611168
172	0.1565233944
173	0.1564794272
174	0.1562759459
175	0.1562210885
176	0.1561621502
177	0.1561123656
178	0.1560125724
179	0.1558802851
180	0.1558208437
181	0.1556976754
182	0.155526445
183	0.1554669815
184	0.1553892869
185	0.1553289414
186	0.1552174867
187	0.1551554196
188	0.1550826081
189	0.1550210214
190	0.1548894647
191	0.1546746808
192	0.1546362089
193	0.1545604218
194	0.1544707969
195	0.1544204354
196	0.1543871613
197	0.1542977053
198	0.1542024246
199	0.1541137428
200	0.1540552064
201	0.153965628
202	0.1539453016
203	0.1539082692
204	0.1538074361
205	0.1536795279
206	0.1535455283
207	0.1535079565
208	0.1532756419
209	0.1532376133
210	0.1531304202
211	0.153049065
212	0.1529704583
213	0.1527435128
214	0.1526846244
215	0.1525622169
216	0.1524569816
217	0.1523207977
218	0.1522279431
219	0.1521512621
220	0.1520582188
221	0.1519718909
222	0.1518975111
223	0.1517802228
224	0.1517204739
225	0.1515109648
226	0.1514662249
227	0.1514269248
228	0.1513708084
229	0.1513287549
230	0.1512646319
231	0.1510972173
232	0.1510209766
233	0.1508192922
234	0.1507454551
235	0.1506984448
236	0.1506015984
237	0.1505358379
238	0.150353726
239	0.1502722441
240	0.1502365539
241	0.1501524053
242	0.1499984793
243	0.1498494505
244	0.149796777
245	0.1497213025
246	0.149641574
247	0.1495512458
248	0.1494954775
249	0.1494019056
250	0.1492108577
251	0.1490563731
252	0.1489755312
253	0.1489261184
254	0.1488892815
255	0.1487876534
256	0.1487474156
257	0.148656956
258	0.1485162373
259	0.1484793532
260	0.148396141
261	0.1483466152
262	0.1483159638
263	0.1482544919
264	0.148167931
265	0.1480986209
266	0.1479671586
267	0.1478184773
268	0.1477526146
269	0.1476997393
270	0.1475718247
271	0.1474185411
272	0.147367113
273	0.1473147648
