iter	Passed	Remaining
184	2576	11352
185	2589	11331
186	2601	11310
187	2614	11294
188	2628	11276
189	2640	11257
190	2652	11236
191	2665	11219
192	2680	11206
193	2692	11185
194	2705	11169
195	2718	11150
196	2733	11142
197	2748	11132
198	2763	11123
199	2778	11115
200	2793	11106
201	2807	11092
202	2821	11075
203	2834	11058
204	2848	11045
205	2863	11035
206	2878	11027
207	2892	11015
208	2907	11004
209	2922	10994
210	2938	10986
211	2953	10979
212	2969	10971
213	2985	10964
214	2998	10948
215	3012	10933
216	3025	10918
217	3039	10903
218	3053	10890
219	3068	10877
220	3081	10861
221	3094	10843
222	3108	10829
223	3123	10819
224	3136	10804
225	3151	10792
226	3166	10781
227	3180	10769
228	3194	10753
229	3206	10735
230	3219	10718
231	3235	10712
232	3250	10699
233	3265	10688
234	3280	10678
235	3295	10667
236	3311	10659
237	3326	10650
238	3342	10641
239	3355	10624
240	3366	10603
241	3381	10590
242	3395	10576
243	3408	10559
244	3421	10543
245	3434	10525
246	3448	10513
247	3461	10495
248	3474	10478
249	3487	10462
250	3499	10443
251	3513	10427
252	3527	10416
253	3540	10399
254	3553	10381
255	3566	10364
256	3578	10346
257	3594	10337
258	3608	10324
259	3621	10308
260	3634	10290
261	3647	10273
262	3660	10259
263	3673	10241
264	3686	10225
265	3699	10208
266	3711	10190
267	3724	10173
268	3738	10158
269	3751	10143
270	3765	10128
271	3777	10111
272	3790	10093
273	3804	10080
274	3819	10068
275	3832	10053
276	3845	10036
277	3857	10019
278	3871	10005
279	3884	9989
280	3897	9972
281	3910	9957
282	3923	9941
283	3937	9926
284	3949	9908
285	3964	9896
286	3976	9879
287	3989	9863
288	4001	9844
289	4015	9831
290	4029	9817
291	4042	9800
292	4055	9786
293	4068	9768
294	4080	9752
295	4093	9736
296	4106	9719
297	4118	9702
298	4130	9684
299	4143	9668
300	4155	9650
301	4169	9636
302	4182	9621
303	4195	9606
304	4208	9590
305	4223	9578
306	4239	9569
307	4254	9558
308	4268	9546
309	4283	9535
310	4297	9520
311	4314	9515
312	4329	9501
313	4345	9492
314	4358	9479
315	4374	9467
316	4389	9457
317	4405	9448
318	4418	9433
319	4431	9417
320	4447	9407
321	4462	9396
322	4474	9377
323	4487	9362
324	4500	9346
325	4512	9330
326	4526	9315
327	4539	9300
328	4552	9284
329	4565	9269
330	4579	9256
331	4593	9242
332	4605	9225
333	4618	9210
334	4632	9195
335	4648	9186
336	4664	9176
337	4679	9165
338	4692	9150
339	4706	9136
340	4720	9123
341	4733	9106
342	4745	9089
343	4757	9072
344	4767	9051
345	4780	9036
346	4793	9021
347	4808	9008
348	4819	8990
349	4831	8971
350	4843	8955
351	4857	8942
352	4872	8929
353	4887	8918
354	4901	8905
355	4915	8892
356	4927	8875
357	4942	8862
358	4955	8847
359	4968	8832
360	4980	8816
361	4992	8799
362	5006	8784
363	5020	8772
364	5034	8759
365	5048	8745
366	5062	8731
367	5074	8714
368	5087	8700
369	5103	8689
370	5116	8675
371	5131	8663
372	5144	8647
373	5156	8630
374	5170	8616
375	5182	8601
376	5196	8587
377	5209	8571
378	5221	8554
379	5233	8539
380	5248	8526
381	5261	8511
382	5272	8493
383	5286	8480
384	5302	8469
385	5315	8455
386	5328	8439
387	5340	8423
388	5353	8409
389	5366	8394
390	5381	8381
391	5393	8365
392	5406	8350
393	5418	8334
394	5431	8318
395	5444	8304
396	5456	8287
397	5468	8271
398	5478	8252
399	5491	8236
400	5504	8222
401	5519	8210
402	5534	8199
403	5546	8183
404	5561	8170
405	5575	8156
406	5589	8143
407	5602	8128
408	5615	8113
409	5627	8098
410	5641	8085
411	5654	8069
412	5667	8054
413	5680	8040
414	5692	8023
415	5706	8010
416	5720	7997
417	5736	7987
418	5749	7972
419	5762	7957
420	5773	7940
421	5786	7925
422	5800	7911
423	5813	7897
424	5826	7882
425	5838	7867
426	5851	7852
427	5865	7838
428	5878	7824
429	5890	7807
430	5904	7794
431	5919	7782
432	5933	7770
433	5948	7758
434	5963	7745
435	5976	7731
436	5989	7716
437	6001	7700
438	6014	7685
439	6026	7670
440	6039	7656
441	6052	7641
442	6065	7626
443	6078	7612
444	6092	7598
445	6105	7584
446	6117	7567
447	6131	7554
448	6146	7542
449	6162	7531
450	6176	7518
451	6189	7503
452	6201	7488
453	6214	7474
454	6228	7460
455	6242	7447
456	6256	7433
457	6269	7419
458	6281	7404
459	6295	7390
460	6310	7377
461	6323	7363
462	6337	7349
463	6350	7336
464	6368	7326
465	6382	7313
466	6394	7297
467	6407	7284
468	6421	7269
469	6434	7255
470	6448	7242
471	6460	7227
472	6474	7213
473	6487	7198
474	6500	7184
475	6513	7170
476	6524	7153
477	6538	7140
478	6553	7128
479	6567	7115
480	6582	7102
481	6595	7088
482	6608	7073
483	6620	7058
484	6633	7043
485	6647	7030
486	6661	7016
487	6674	7002
488	6687	6988
489	6701	6974
490	6714	6960
491	6727	6946
492	6740	6932
493	6753	6917
494	6766	6902
495	6780	6889
496	6794	6876
497	6807	6862
498	6820	6848
499	6833	6833
500	6847	6819
501	6861	6806
502	6875	6793
503	6888	6779
504	6901	6764
505	6913	6749
506	6927	6736
507	6940	6722
508	6953	6707
509	6966	6693
510	6978	6678
511	6994	6666
512	7008	6653
513	7023	6640
514	7037	6627
515	7050	6612
516	7062	6598
517	7076	6584
518	7088	6569
519	7102	6556
520	7116	6543
521	7130	6529
522	7143	6515
523	7155	6500
524	7169	6486
525	7182	6472
526	7197	6460
527	7210	6445
528	7222	6430
529	7235	6416
530	7248	6402
531	7262	6388
532	7275	6374
533	7287	6359
534	7300	6345
535	7313	6331
536	7326	6316
537	7338	6301
538	7351	6287
539	7364	6273
540	7377	6259
541	7391	6245
542	7405	6232
543	7417	6217
544	7431	6204
545	7443	6189
546	7456	6175
547	7469	6161
548	7480	6145
549	7493	6130
550	7505	6116
551	7520	6103
552	7532	6088
553	7545	6074
554	7556	6059
555	7569	6044
556	7582	6030
557	7594	6016
558	7609	6002
559	7622	5989
560	7636	5975
561	7649	5961
562	7661	5946
563	7673	5932
564	7687	5918
565	7700	5904
566	7713	5890
567	7724	5875
568	7736	5859
569	7748	5845
570	7759	5829
571	7771	5815
572	7785	5801
573	7799	5788
574	7814	5775
575	7825	5760
576	7839	5747
577	7853	5733
578	7864	5718
579	7877	5704
580	7889	5689
581	7902	5675
582	7917	5662
583	7930	5649
584	7943	5634
585	7954	5619
586	7966	5605
587	7979	5590
588	7991	5576
589	8006	5564
590	8021	5551
591	8034	5537
592	8048	5524
593	8061	5510
594	8074	5496
595	8088	5482
596	8101	5468
597	8113	5453
598	8126	5440
599	8139	5426
600	8151	5412
601	8162	5396
602	8175	5382
603	8189	5369
604	8201	5354
605	8213	5340
606	8228	5327
607	8242	5314
608	8254	5299
609	8266	5285
610	8279	5271
611	8293	5257
612	8306	5244
613	8319	5230
614	8333	5216
615	8344	5201
616	8357	5187
617	8371	5174
618	8385	5161
619	8398	5147
620	8411	5133
621	8424	5119
622	8439	5107
623	8454	5094
624	8468	5080
625	8482	5067
626	8495	5054
627	8508	5040
628	8522	5026
629	8536	5013
630	8549	4999
631	8562	4985
632	8575	4972
633	8587	4957
634	8598	4942
635	8612	4928
636	8625	4915
637	8639	4902
638	8652	4887
639	8665	4874
640	8679	4861
641	8693	4847
642	8707	4834
643	8720	4820
644	8733	4806
645	8745	4792
646	8759	4779
647	8772	4765
648	8785	4751
649	8798	4737
650	8812	4724
651	8825	4710
652	8839	4697
653	8853	4684
654	8864	4669
655	8877	4655
656	8889	4640
657	8902	4626
658	8912	4611
659	8924	4597
660	8937	4583
661	8949	4569
662	8960	4554
663	8972	4540
664	8984	4526
665	8996	4511
666	9009	4497
667	9021	4483
668	9034	4469
669	9047	4456
670	9063	4443
671	9076	4430
672	9089	4416
673	9100	4401
674	9113	4387
675	9124	4373
676	9138	4359
677	9151	4346
678	9162	4331
679	9174	4317
680	9187	4303
681	9202	4290
682	9215	4276
683	9228	4263
684	9241	4249
685	9255	4236
686	9269	4223
687	9284	4210
688	9296	4196
689	9309	4182
690	9322	4168
691	9334	4154
692	9345	4140
693	9358	4126
694	9372	4112
695	9384	4099
696	9399	4086
697	9413	4072
698	9425	4058
699	9439	4045
700	9452	4031
701	9468	4019
702	9482	4006
703	9496	3992
704	9508	3978
705	9521	3964
706	9533	3950
707	9545	3936
708	9558	3923
709	9572	3909
710	9585	3896
711	9597	3882
712	9610	3868
713	9624	3855
714	9637	3841
715	9650	3827
716	9665	3815
717	9682	3802
718	9695	3789
719	9708	3775
720	9721	3761
721	9735	3748
722	9748	3735
723	9761	3721
724	9774	3707
725	9786	3693
726	9799	3679
727	9812	3666
728	9825	3652
729	9838	3638
730	9851	3625
731	9867	3612
732	9882	3599
733	9897	3586
734	9911	3573
735	9924	3559
736	9936	3545
737	9948	3531
738	9962	3518
739	9975	3504
740	9987	3490
741	9999	3477
742	10013	3463
743	10026	3449
744	10039	3436
745	10052	3422
746	10066	3409
747	10080	3396
748	10094	3382
749	10107	3369
750	10120	3355
751	10132	3341
752	10145	3327
753	10159	3314
754	10172	3301
755	10185	3287
756	10196	3273
757	10209	3259
758	10222	3245
759	10235	3232
760	10248	3218
761	10262	3205
762	10276	3192
763	10292	3179
764	10306	3166
765	10319	3152
766	10332	3138
767	10344	3124
768	10358	3111
769	10371	3097
770	10384	3084
771	10399	3071
772	10413	3058
773	10428	3044
774	10440	3031
775	10454	3017
776	10467	3004
777	10481	2990
778	10496	2977
779	10511	2964
780	10523	2950
781	10535	2936
782	10549	2923
783	10564	2910
784	10577	2897
785	10591	2883
786	10604	2870
787	10618	2856
788	10632	2843
789	10649	2830
790	10666	2818
791	10680	2805
792	10695	2791
793	10708	2778
794	10723	2765
795	10736	2751
796	10748	2737
797	10761	2724
798	10773	2710
799	10785	2696
800	10797	2682
801	10811	2669
802	10823	2655
803	10836	2641
804	10848	2627
805	10860	2614
806	10873	2600
807	10886	2586
808	10900	2573
809	10914	2560
810	10927	2546
811	10939	2532
812	10952	2519
813	10965	2505
814	10977	2491
815	10988	2477
816	11001	2464
817	11013	2450
818	11026	2436
819	11040	2423
820	11052	2409
821	11065	2396
822	11077	2382
823	11088	2368
824	11102	2355
825	11116	2341
826	11132	2328
827	11145	2315
828	11156	2301
829	11169	2287
830	11181	2274
831	11195	2260
832	11208	2247
833	11221	2233
834	11234	2219
835	11247	2206
836	11259	2192
837	11272	2179
838	11283	2165
839	11296	2151
840	11309	2138
841	11321	2124
842	11335	2111
843	11348	2097
844	11362	2084
845	11375	2070
846	11388	2057
847	11400	2043
848	11413	2029
849	11428	2016
850	11442	2003
851	11455	1990
852	11467	1976
853	11480	1962
854	11492	1949
855	11505	1935
856	11519	1922
857	11533	1908
858	11547	1895
859	11560	1881
860	11573	1868
861	11585	1854
862	11597	1841
863	11610	1827
864	11622	1813
865	11635	1800
866	11647	1786
867	11660	1773
868	11672	1759
869	11684	1745
870	11697	1732
871	11709	1718
872	11722	1705
873	11735	1691
874	11749	1678
875	11762	1665
876	11774	1651
877	11787	1637
878	11800	1624
879	11812	1610
880	11824	1597
881	11838	1583
882	11851	1570
883	11864	1556
884	11876	1543
885	11887	1529
886	11901	1516
887	11913	1502
888	11926	1489
889	11938	1475
890	11949	1461
891	11964	1448
892	11977	1435
893	11990	1421
894	12001	1408
895	12013	1394
896	12026	1380
897	12038	1367
898	12050	1353
899	12063	1340
900	12075	1326
901	12087	1313
902	12099	1299
903	12112	1286
904	12125	1272
905	12140	1259
906	12153	1246
907	12166	1232
908	12180	1219
909	12193	1205
910	12207	1192
911	12219	1179
912	12231	1165
913	12245	1152
914	12256	1138
915	12268	1125
916	12281	1111
917	12292	1098
918	12305	1084
919	12318	1071
920	12330	1057
921	12343	1044
922	12356	1030
923	12371	1017
924	12383	1004
925	12395	990
926	12407	977
927	12418	963
928	12431	950
929	12442	936
930	12454	923
931	12466	909
932	12479	896
933	12490	882
934	12503	869
935	12516	855
936	12529	842
937	12541	828
938	12553	815
939	12567	802
940	12589	789
941	12604	776
942	12616	762
943	12629	749
944	12643	735
945	12655	722
946	12671	709
947	12686	695
948	12700	682
949	12716	669
950	12732	656
951	12744	642
952	12757	629
953	12771	615
954	12787	602
955	12801	589
956	12814	575
957	12828	562
958	12840	548
959	12853	535
960	12865	522
961	12878	508
962	12890	495
963	12903	481
964	12916	468
965	12928	455
966	12940	441
967	12954	428
968	12968	414
969	12981	401
970	12994	388
971	13007	374
972	13021	361
973	13034	347
974	13046	334
975	13057	321
976	13069	307
977	13082	294
978	13094	280
979	13109	267
980	13121	254
981	13132	240
982	13144	227
983	13156	213
984	13169	200
985	13181	187
986	13195	173
987	13210	160
988	13224	147
989	13236	133
990	13249	120
991	13262	106
992	13275	93
993	13287	80
994	13300	66
995	13313	53
996	13325	40
997	13337	26
998	13350	13
999	13362	0
